pageid,%_positive_words,%_negative_words,%_controversial_words
1332334,51,31,0
415767,155,77,4
12232585,177,129,2
684813,80,38,3
20764470,10,4,0
1553191,127,67,1
201936,324,115,4
31150160,85,66,0
47374,8,4,1
21538638,108,46,0
12561015,67,29,1
167884,8,2,0
33933496,12,1,0
1673370,27,23,0
5069516,112,78,8
275051,95,54,1
82065,20,7,0
2047065,3,0,0
765,84,40,270
307,287,110,4
2731583,165,61,2
58809,131,126,8
2343,28,6,0
49392,280,43,0
2503,101,36,0
2162,56,35,0
18947965,100,20,2
1653,59,33,8
894,105,97,0
10934212,117,49,0
1921,257,70,0
251879,55,22,1
5042706,164,80,20
48370461,86,22,1
166702,74,31,2
161947,62,31,2
624,161,52,3
500309,6,0,0
736,195,49,1
717,112,15,0
2965,116,82,1
358934,35,12,5
212472,110,48,0
45214,48,29,1
5297192,5,0,0
55313,80,38,11
381552,14,13,0
1845,202,141,1
18914017,123,110,1
1902,45,29,0
1950,243,102,25
863,179,113,2
521057,93,39,4
5315944,10,2,3
1131183,177,31,8
1973,210,93,1
172479,5,1,0
19346935,78,44,1
4097799,154,52,10
2460,74,63,0
12,189,33,0
1023,238,144,0
1630179,23,5,0
22320587,95,49,12
315087,34,42,3
432972,11,3,0
1623,237,118,4
99881,89,24,2
864,147,21,0
232035,31,15,5
48522,47,11,1
72671,111,32,1
5792809,146,32,2
800,90,20,0
331538,30,11,0
2314,27,11,0
52045701,24,3,2
205522,113,91,12
68335,55,32,0
700568,39,13,0
4577283,41,9,0
569,118,19,0
283205,170,57,2
43441237,23,11,1
2197030,28,26,0
8814638,37,24,0
42762068,30,21,0
1429917,80,41,1
571440,63,20,0
1078,178,115,2
2200527,206,112,2
37873196,10,3,1
80740,150,97,2
2944,104,39,2
155033,52,7,0
140376,187,103,1
1806,175,67,8
309935,120,50,3
51669,12,4,0
42277,68,27,0
274539,43,13,1
6341469,71,90,0
24107,95,26,1
230025,52,33,0
23555,250,62,0
150136,30,7,0
60857,167,98,11
951581,134,89,0
52970,80,43,0
23639,53,39,0
560876,81,34,2
273444,28,2,1
416366,45,4,0
253413,58,24,1
39609876,21,11,1
2100405,45,20,1
23440,187,37,7
199823,28,8,0
7518210,0,0,0
24507,145,43,3
771182,32,15,0
3727944,13,0,0
2266653,209,276,0
2252913,73,64,0
22954,241,72,1
23221,49,14,0
44469,66,29,0
23745,91,22,1
24326,152,49,1
22936,341,42,5
17458566,30,8,1
16367528,10,6,0
275297,98,13,0
23213,90,33,2
23996,187,17,1
15611519,3,0,0
22986,47,14,1
21259,27,7,0
24872,62,18,0
460821,18,24,0
24591,114,40,2
24475,160,108,1
199630,73,12,0
24020,26,6,0
23805,298,78,8
23808,260,109,1
23475335,146,119,2
1704222,19,8,1
940606,24,7,0
1328272,25,4,0
5710507,49,33,3
175357,48,37,1
27620742,11,8,0
64959,214,90,7
1771587,104,56,12
1630282,2,3,1
663540,117,39,0
429542,95,83,6
169086,63,14,0
24113,82,45,1
3009092,36,24,0
51511,58,31,0
125248,98,39,4
14457,70,14,0
72201,54,12,1
24095,199,59,2
1677192,34,7,0
19008450,130,77,6
24856,54,24,2
15394859,139,75,2
15157915,102,61,141
37857,122,37,2
371248,117,30,0
18973869,75,24,2
147707,29,4,0
471603,83,34,2
6729144,80,17,0
23041,250,93,5
23037,199,41,0
36922,174,49,0
7954867,181,26,0
319505,185,43,1
47717515,19,8,1
25614,184,122,0
25614,184,122,0
26494,208,118,1
30862657,40,12,0
15181647,12,7,0
2634236,49,19,0
49444,20,3,0
26316,74,45,1
25613,185,93,2
28358650,77,31,3
25421,106,19,0
18945847,229,40,0
7980471,113,113,2
25854438,32,23,3
25421,106,19,0
375137,7,5,0
43488,129,24,0
43488,129,24,0
7627929,20,8,0
221749,33,14,1
22424,17,8,0
25382,48,50,0
70157,176,65,2
3829005,127,36,4
25806,252,72,0
43243,153,65,2
11587,57,14,0
63317,148,42,33
1544191,11,12,0
23564616,106,14,2
526399,53,32,0
32070,218,37,32
347422,27,8,0
5622894,58,40,0
25867,86,28,0
957537,14,0,0
25473,212,106,5
231156,51,16,1
32296110,26,23,0
250943,29,2,0
8354382,85,17,2
2110323,156,26,0
444216,8,7,0
240547,27,27,3
21131695,212,109,7
161466,82,37,1
168601,46,42,1
26152,100,40,0
615807,53,13,0
25433,242,101,14
93791,69,19,3
44205,129,45,4
376985,63,33,0
25938,116,85,7
25427,90,36,9
17446303,94,39,7
242570,23,6,0
23747676,62,9,0
4057953,40,13,0
45218,71,18,0
29490,190,48,1
206365,50,44,0
27931,57,15,0
51487,131,46,10
40112,137,38,1
249623,163,81,7
23409759,22,10,0
27122,171,62,2
165404,27,10,0
26915,118,48,1
2941511,152,60,5
338065,66,14,0
27694,99,62,0
27706,153,59,0
144178,127,38,0
763013,177,38,2
349303,190,60,3
27790,97,79,2
1737582,27,7,0
26833,195,70,1
13118744,206,95,18
1163228,40,35,14
418732,41,11,0
21171721,63,26,6
34495117,11,9,3
152447,45,9,1
317383,60,14,7
324091,33,32,0
466454,63,38,0
69795,126,33,0
150374,73,66,0
18842168,50,9,3
168714,181,116,2
286527,34,9,0
5058690,121,87,1
5058690,121,87,1
59512,72,8,1
10733176,92,72,1
28632,164,43,9
43116037,117,86,1
1305554,113,51,2
2957039,34,26,2
7397019,13,11,0
236331,130,133,1
1316116,42,23,0
19019270,42,65,2
31635665,146,56,1
28840,134,72,5
5594647,12,11,3
27159,137,57,1
189909,23,18,0
1130664,3,3,0
384706,71,22,1
26743,200,62,0
28399,27,4,0
26909,303,131,7
28307,35,41,0
25862547,111,16,0
9603757,36,11,0
27992,172,78,2
29440,41,10,0
3895745,304,32,1
12254052,116,41,1
4124046,129,121,1
743769,19,1,0
88923,81,15,2
26847,283,63,3
25664190,133,77,0
175811,211,40,0
13690575,141,22,0
2095829,177,90,7
27655,21,6,0
18932365,53,36,0
17416221,134,30,6
27977,183,30,1
32350676,123,34,0
816925,12,5,0
179553,130,43,6
24795561,36,14,0
26779,180,55,0
26950,21,4,0
4751135,76,52,0
26667,224,33,1
18842471,141,49,0
5980301,132,88,1
189109,44,10,0
28265,125,55,1
21496026,244,84,1
28480,231,28,0
148956,29,10,1
25272420,64,61,4
16146360,80,36,0
17157886,127,20,0
26678,182,48,0
27783,45,28,2
335195,129,31,1
18956166,115,67,2
640689,42,11,0
38466392,165,28,1
1380550,163,56,10
16844797,74,23,0
59606,4,4,0
27421,105,22,3
28246,282,55,0
427707,71,21,0
1514981,70,46,5
102075,82,56,15
27999,52,13,0
218299,55,28,0
26748,215,52,3
486017,89,32,0
28642,71,21,0
666601,19,3,1
29612,15,5,0
1337691,168,29,1
30741795,228,96,3
30658,82,73,0
61117,16,7,3
31438,53,14,0
30635,225,114,1
30077,111,14,0
30797,39,12,3
30297,212,77,0
5422144,95,17,0
56481,42,69,0
22754875,182,71,11
21898839,45,13,0
143377,175,123,3
1151958,82,43,7
184136,258,112,13
30475,50,27,1
83859,319,93,9
10839777,101,25,1
149014,22,9,0
169496,55,11,0
65719,155,50,0
1056144,13,0,0
428819,58,39,1
30636,132,57,0
63578,19,9,0
1351855,4,1,0
29810,172,42,5
38711,146,92,1
29812,237,57,1
1397993,29,13,0
137840,127,57,0
30680,97,39,4
1923870,96,44,3
65735,42,32,2
29838,234,44,1
656307,106,14,2
30535,269,113,8
528543,48,15,0
221998,22,16,0
29922,169,66,2
58397,77,87,3
65192,62,13,0
44534,225,66,0
31516,96,12,0
43356,85,47,80
18582416,78,29,3
83045,49,11,0
31535,81,60,3
30942,83,25,0
31175,143,74,1
31460,52,10,0
3301347,188,47,5
47702,146,212,1
216188,16,17,1
71973,57,45,0
2723695,7,6,0
19904525,89,72,0
21694424,93,71,1
21694424,93,71,1
35152422,47,26,1
157873,28,10,2
348486,40,15,1
14594,70,32,1
29920,317,76,1
31341,129,49,1
1182836,41,12,0
30018,17,8,0
25168720,73,18,0
31429,145,41,0
9988187,200,50,9
863,179,113,2
52780,198,32,1
31814,128,44,0
32191,195,102,2
31750,288,48,6
31814,128,44,0
31769,132,23,0
3434750,234,56,15
32009,92,39,20
446555,15,7,0
37293,19,17,0
31902,89,37,0
31880,187,46,0
16118202,155,34,0
337755,30,24,19
243927,86,34,0
1742315,112,96,1
132472,57,22,0
30972975,8,2,0
333091,33,26,0
305561,77,46,0
928412,11,4,0
32587,80,69,49
32591,152,86,66
11737832,48,29,0
183050,21,9,1
19220448,170,125,0
32611,210,114,5
47150,16,7,0
93767,27,3,0
239897,106,18,3
11015252,214,74,0
32817,178,47,5
47896187,146,65,2
33589,129,46,4
32917,114,29,3
34059,289,175,0
1181646,97,51,1
13425800,133,66,4
4091662,46,33,0
33622,35,10,0
15380061,97,40,5
52382,134,65,7
33422,185,68,3
231184,9,0,0
265307,18,10,0
16597487,53,22,1
53976971,12,17,0
33545,109,31,0
376898,136,88,3
21208262,89,20,2
2495537,40,16,0
166202,110,53,0
33178,24,15,0
54985,52,19,1
154823,71,28,0
30780454,25,4,0
11577295,8,1,0
32897,108,26,0
860924,79,18,0
2289648,166,72,0
33683,24,10,0
91221,59,22,1
11185,140,48,6
33183,83,28,7
145439,257,112,38
37483,8,1,0
33523,238,99,13
33278,99,28,1
31582928,10,5,1
67173,50,16,1
4764461,281,149,0
32927,133,68,4
148898,108,33,6
24548445,34,15,1
2752,61,34,6
6821757,29,31,1
37556,89,56,1
162615,120,105,0
2122,100,56,1
15247542,149,102,0
21785,71,41,1
11778948,181,100,1
5491859,33,12,0
18933396,101,26,4
1030,66,29,0
25,124,76,0
1195328,28,10,0
5612336,28,25,0
150056,64,34,0
879858,11,9,1
19344654,154,30,0
4545,249,165,2
4173,227,115,2
867145,26,20,0
19360669,72,24,0
3979,92,35,0
534366,159,43,11
335069,51,17,0
72336,164,22,1
4375,93,44,0
4792,129,59,7
364813,147,46,5
3738,88,49,0
447382,96,49,0
3205662,47,33,0
501984,98,32,0
3427,93,36,1
699349,124,60,2
19283178,291,151,0
3722,178,79,0
20650188,64,48,0
41353912,112,25,0
44431,29,19,2
2100861,22,27,0
4116,176,74,1
1555010,109,42,0
3356,161,60,19
188564,85,39,3
191941,35,6,3
51614,82,33,2
321263,59,38,7
239098,132,19,0
3803886,20,11,0
244098,32,12,1
44751865,107,57,2
4874,110,45,0
20648200,102,52,0
851008,22,17,0
65426,2,1,0
88857,107,57,0
55309,90,43,0
5030,67,67,0
11015826,89,39,0
27417455,46,22,2
64692,124,102,2
68244,135,71,0
392807,115,61,1
5574594,71,39,1
186319,269,94,2
23278520,132,41,7
4950,91,35,0
3463,159,26,1
44849,90,15,2
70547,126,86,15
8269855,25,16,1
3845,56,22,2
4294,248,84,3
3382,161,25,2
38748,160,60,2
73887,24,8,0
773158,94,29,1
639800,106,64,1
3267529,193,77,0
23278125,100,48,0
682722,17,5,0
24133117,42,37,1
87179,67,42,0
62028,76,19,4
46924,78,77,4
773158,94,29,1
5407,159,25,5
6852,78,39,1
160811,70,21,0
5042916,117,16,1
105219,124,94,11
5902,84,66,118
5416,319,108,3
42031,124,47,0
685631,10,12,0
2184033,22,6,0
